,_id,goal,target,indicator,seriesCode,seriesDesc,release,geoAreaCode,geoAreaName,parentCode,parentName,type,ISO3,UN_Member,X,Y,boundsCode,boundsDesc,unitsCode,unitsDesc,unitmultiplierCode,unitmultiplierDesc,reportingTypeCode,reportingTypeDesc,valueDetails,footnotes,sources,timeDetails,nature,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_latest_year,latest_year,ObjectId
131,141,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,418,Lao People's Democratic Republic,35,Asia,Country,LAO,1,101.9901968,20.27482773,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,330.0,317.0,305.0,293.0,282.0,270.0,260.0,249.0,240.0,230.0,221.0,213.0,204.0,197.0,189.0,182.0,175.0,168.0,168.0,2017.0,141
134,144,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,422,Lebanon,145,Asia,Country,LBN,1,35.89391711,33.92152458,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,20.0,18.0,14.0,12.0,12.0,11.0,11.0,13.0,15.0,14.0,14.0,12.0,15.0,15.0,14.0,13.0,12.0,12.0,12.0,2017.0,144
137,147,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,426,Lesotho,18,Africa,Country,LSO,1,28.25362195,-29.58041814,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,992.0,1080.0,1160.0,1220.0,1260.0,1280.0,1280.0,1260.0,1220.0,1180.0,1120.0,1050.0,985.0,916.0,852.0,788.0,724.0,665.0,665.0,2017.0,147
140,150,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,428,Latvia,154,Europe,Country,LVA,1,26.42461876,56.64196636,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,96.0,98.0,89.0,84.0,80.0,72.0,67.0,64.0,55.0,51.0,50.0,47.0,53.0,49.0,42.0,40.0,37.0,32.0,32.0,2017.0,150
143,153,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,430,Liberia,11,Africa,Country,LBR,1,-9.311879038,6.448381009,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,240.0,245.0,250.0,256.0,262.0,267.0,272.0,277.0,282.0,288.0,293.0,299.0,304.0,308.0,308.0,308.0,308.0,308.0,308.0,2017.0,153
146,156,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,434,Libya,15,Africa,Country,LBY,1,18.0295985,27.04042819,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,2017.0,156
152,162,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,440,Lithuania,154,Europe,Country,LTU,1,23.90517807,55.33680309,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,87.0,86.0,81.0,88.0,69.0,73.0,82.0,79.0,75.0,69.0,64.0,65.0,62.0,60.0,58.0,55.0,53.0,50.0,50.0,2017.0,162
155,165,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,442,Luxembourg,155,Europe,Country,LUX,1,6.092656563,49.77679538,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,12.0,8.1,8.0,14.0,7.9,9.3,8.2,9.4,6.6,6.3,6.6,5.5,9.7,8.0,5.0,6.1,5.8,6.3,6.3,2017.0,165
158,168,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,446,"China, Macao Special Administrative Region",30,Asia,Country,MAC,0,113.5665388,22.1237259,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,121.0,122.0,99.0,94.0,82.0,95.0,96.0,87.0,88.0,75.0,84.0,80.0,83.0,86.0,77.0,71.0,67.0,70.0,70.0,2017.0,168
161,171,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,450,Madagascar,14,Africa,Country,MDG,1,46.6982339,-19.38514785,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,293.0,286.0,280.0,273.0,268.0,262.0,257.0,252.0,248.0,244.0,241.0,238.0,236.0,233.0,235.0,236.0,237.0,238.0,238.0,2017.0,171
164,174,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,454,Malawi,14,Africa,Country,MWI,1,33.4884625,-13.40819859,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,392.0,394.0,396.0,397.0,397.0,397.0,392.0,383.0,370.0,352.0,332.0,312.0,294.0,261.0,227.0,193.0,159.0,131.0,131.0,2017.0,174
167,177,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,458,Malaysia,35,Asia,Country,MYS,1,116.8346314,5.452415309,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,75.0,72.0,68.0,73.0,68.0,69.0,71.0,70.0,73.0,72.0,76.0,80.0,86.0,91.0,92.0,88.0,92.0,93.0,93.0,2017.0,177
170,180,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,462,Maldives,34,Asia,Country,MDV,1,73.09672546,-0.614385021,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,59.0,61.0,53.0,57.0,48.0,48.0,38.0,47.0,43.0,35.0,33.0,29.0,36.0,36.0,39.0,46.0,49.0,39.0,39.0,2017.0,180
173,183,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,466,Mali,11,Africa,Country,MLI,1,-3.522016039,17.35311254,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,77.0,76.0,74.0,73.0,71.0,69.0,68.0,66.0,65.0,64.0,63.0,62.0,61.0,60.0,58.0,57.0,56.0,55.0,55.0,2017.0,183
176,186,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,470,Malta,39,Europe,Country,MLT,1,14.44617519,35.89194275,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,4.6,4.6,6.9,2.0,5.1,6.2,8.4,11.0,13.0,12.0,8.0,8.2,11.0,14.0,12.0,8.6,13.0,11.0,11.0,2017.0,186
181,192,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,478,Mauritania,11,Africa,Country,MRT,1,-10.33187259,20.26089546,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,250.0,235.0,220.0,206.0,193.0,181.0,170.0,160.0,151.0,143.0,135.0,128.0,121.0,115.0,111.0,107.0,102.0,97.0,97.0,2017.0,192
184,195,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,480,Mauritius,14,Africa,Country,MUS,1,57.568022,-20.28581998,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,17.0,13.0,14.0,14.0,14.0,13.0,12.0,11.0,11.0,12.0,12.0,11.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,2017.0,195
187,198,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,484,Mexico,13,America,Country,MEX,1,-102.5148166,23.93378032,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,23.0,23.0,21.0,23.0,18.0,21.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,2017.0,198
190,201,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,492,Monaco,155,Europe,Country,MCO,1,7.424214814,43.73532918,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,0.0,0.0,0.0,0.32,0.85,1.5,2.2,2.8,3.2,3.3,3.1,2.4,1.5,0.57,0.0,0.0,0.0,0.0,0.0,2017.0,201
193,204,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,496,Mongolia,30,Asia,Country,MNG,1,103.0728057,46.83892054,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,2017.0,204
196,207,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,498,Republic of Moldova,151,Europe,Country,MDA,1,28.4650624,47.20236795,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,80.0,99.0,104.0,119.0,133.0,142.0,138.0,135.0,125.0,126.0,116.0,119.0,124.0,127.0,115.0,102.0,101.0,95.0,95.0,2017.0,207
199,210,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,499,Montenegro,39,Europe,Country,MNE,1,19.25214024,42.78717043,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,,,,,,29.0,31.0,27.0,24.0,21.0,20.0,20.0,18.0,22.0,21.0,15.0,16.0,14.0,14.0,2017.0,210
202,213,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,500,Montserrat,29,Ocean Islands,Country,MSR,0,-62.19261223,16.73558313,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,0.0,0.0,0.0,26.0,0.0,24.0,0.0,47.0,31.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,213
205,216,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,124,Canada,21,America,Country,CAN,1,-101.6575058,57.72360191,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,6.4,6.6,6.1,5.9,5.6,5.5,5.4,5.3,5.4,5.3,4.6,4.8,5.4,5.3,5.1,5.2,5.5,5.5,5.5,2017.0,216
208,219,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,132,Cabo Verde,11,Africa,Country,CPV,1,-23.63544151,15.07791834,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,160.0,159.0,157.0,156.0,155.0,153.0,152.0,151.0,149.0,148.0,147.0,145.0,144.0,143.0,138.0,139.0,137.0,134.0,134.0,2017.0,219
211,222,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,136,Cayman Islands,29,Ocean Islands,Country,CYM,0,-81.16740559,19.32266656,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,14.0,2.7,0.0,0.0,2.4,1.0,0.0,2.2,2.2,4.2,8.3,4.1,12.0,9.9,0.0,13.0,5.7,7.5,7.5,2017.0,222
214,225,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,140,Central African Republic,17,Africa,Country,CAF,1,20.93559492,7.003720791,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,1070.0,1000.0,923.0,842.0,762.0,687.0,620.0,561.0,511.0,467.0,431.0,402.0,378.0,359.0,375.0,391.0,407.0,423.0,423.0,2017.0,225
217,228,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,144,Sri Lanka,34,Asia,Country,LKA,1,80.70489654,7.614693343,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,65.0,65.0,65.0,64.0,64.0,2017.0,228
220,231,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,148,Chad,17,Africa,Country,TCD,1,18.66618401,15.36279341,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,151.0,152.0,152.0,152.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,159.0,152.0,153.0,154.0,154.0,2017.0,231
223,234,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,152,Chile,5,America,Country,CHL,1,-71.23029019,-35.2652885,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,23.0,22.0,18.0,16.0,19.0,18.0,18.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,16.0,17.0,17.0,2017.0,234
226,237,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,156,China,30,Asia,Country,CHN,1,104.1403375,32.30955217,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,109.0,105.0,102.0,98.0,95.0,92.0,89.0,86.0,83.0,82.0,77.0,76.0,74.0,70.0,68.0,66.0,64.0,63.0,63.0,2017.0,237
235,246,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,170,Colombia,5,America,Country,COL,1,-73.07446751,3.888209046,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,36.0,35.0,34.0,35.0,33.0,30.0,32.0,31.0,32.0,31.0,31.0,32.0,32.0,31.0,30.0,31.0,32.0,33.0,33.0,2017.0,246
238,249,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,174,Comoros,14,Africa,Country,COM,1,43.34234565,-11.66121732,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,39.0,38.0,37.0,37.0,36.0,36.0,36.0,35.0,34.0,33.0,33.0,34.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,2017.0,249
244,255,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,178,Congo,11,Africa,Country,COG,1,15.22052612,-0.840544119,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,356.0,379.0,398.0,413.0,423.0,426.0,422.0,413.0,403.0,393.0,386.0,383.0,382.0,382.0,381.0,379.0,378.0,376.0,376.0,2017.0,255
247,258,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,180,Democratic Republic of the Congo,17,Africa,Country,COD,1,23.65496507,-2.877154732,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,326.0,325.0,324.0,323.0,322.0,322.0,2017.0,258
250,261,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,184,Cook Islands,61,Ocean Islands,Country,COK,0,-159.7711391,-21.22696458,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,6.3,13.0,6.1,0.0,5.9,5.8,5.8,6.8,12.0,12.0,0.0,6.3,6.4,13.0,13.0,0.0,13.0,0.0,0.0,2017.0,261
253,264,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,188,Costa Rica,13,America,Country,CRI,1,-84.19712782,9.970998683,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,19.0,20.0,17.0,17.0,21.0,16.0,14.0,16.0,14.0,12.0,14.0,14.0,13.0,11.0,12.0,11.0,9.5,9.7,9.7,2017.0,264
256,267,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,191,Croatia,39,Europe,Country,HRV,1,17.95874553,45.45172212,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,42.0,36.0,38.0,36.0,31.0,28.0,27.0,25.0,26.0,22.0,18.0,17.0,14.0,14.0,13.0,13.0,12.0,10.0,10.0,2017.0,267
259,270,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,192,Cuba,29,Ocean Islands,Country,CUB,1,-79.54460144,22.10030366,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,12.0,9.5,9.2,8.6,8.0,7.9,7.8,7.8,8.3,7.2,8.4,8.2,7.4,7.6,7.3,7.0,6.8,7.1,7.1,2017.0,270
262,273,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,196,Cyprus,145,Asia,Country,CYP,1,33.22285964,35.05659437,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,4.0,4.8,2.4,4.1,3.4,3.8,4.0,4.4,5.1,5.3,6.3,5.2,6.4,4.1,3.9,6.2,5.6,5.1,5.1,2017.0,273
265,276,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,203,Czechia,151,Europe,Country,CZE,1,15.33151382,49.73913871,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,16.0,14.0,13.0,13.0,12.0,11.0,11.0,8.8,8.9,6.9,6.8,6.2,6.1,5.1,5.1,5.5,5.5,5.4,5.4,2017.0,276
268,279,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,204,Benin,11,Africa,Country,BEN,1,2.339933594,9.65401646,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,86.0,83.0,80.0,78.0,75.0,73.0,71.0,69.0,69.0,69.0,68.0,67.0,66.0,64.0,61.0,60.0,59.0,58.0,58.0,2017.0,279
271,282,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,208,Denmark,154,Europe,Country,DNK,1,9.326571283,56.03829721,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,13.0,11.0,8.6,8.3,7.6,8.4,7.2,7.5,6.9,6.1,6.9,7.4,7.0,6.7,5.9,6.5,5.9,5.1,5.1,2017.0,282
274,285,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,212,Dominica,29,Ocean Islands,Country,DMA,1,-61.3493756,15.43391378,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,6.0,7.3,3.3,9.8,11.0,12.0,31.0,4.9,21.0,6.5,13.0,3.2,11.0,4.8,1.6,11.0,7.8,1.6,1.6,2017.0,285
277,288,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,214,Dominican Republic,29,Ocean Islands,Country,DOM,1,-70.49847576,18.89832088,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,77.0,68.0,57.0,67.0,62.0,68.0,61.0,55.0,56.0,54.0,50.0,54.0,52.0,54.0,53.0,53.0,50.0,45.0,45.0,2017.0,288
